Batter,Bowler,dismissed,match_played,runs_scored,ball_faced,average,strike_rate,batsman_impact
YBK Jaiswal,Mohammed Shami,0,3,23,18,23.0,127.778,0.9423625000000001
YBK Jaiswal,Yash Dayal,0,2,11,12,11.0,91.667,0.64166875
YBK Jaiswal,Rashid Khan,0,2,13,9,13.0,144.444,0.9840249999999999
YBK Jaiswal,TA Boult,0,3,11,9,11.0,122.222,0.8326374999999999
YBK Jaiswal,R Ashwin,0,1,11,13,11.0,84.615,0.5975937499999999
YBK Jaiswal,Mohammed Siraj,0,3,24,19,24.0,126.316,0.9394750000000001
YBK Jaiswal,JR Hazlewood,0,2,38,13,38.0,292.308,2.064425
YBK Jaiswal,GJ Maxwell,0,2,9,7,9.0,128.571,0.85981875
YBK Jaiswal,Shahbaz Ahmed,0,1,3,2,3.0,150.0,0.95625
YBK Jaiswal,HV Patel,0,2,11,9,11.0,122.222,0.8326374999999999
YBK Jaiswal,Mohsin Khan,0,1,8,6,8.0,133.333,0.88333125
YBK Jaiswal,PVD Chameera,0,1,22,10,22.0,220.0,1.5125
YBK Jaiswal,KH Pandya,0,1,2,2,2.0,100.0,0.6375
YBK Jaiswal,Avesh Khan,0,2,10,7,10.0,142.857,0.95535625
YBK Jaiswal,Ravi Bishnoi,0,1,1,1,1.0,100.0,0.63125
YBK Jaiswal,LS Livingstone,0,1,3,3,3.0,100.0,0.64375
YBK Jaiswal,Arshdeep Singh,0,2,2,5,2.0,40.0,0.2625
YBK Jaiswal,K Rabada,0,2,3,5,3.0,60.0,0.39375
YBK Jaiswal,Harpreet Brar,0,1,8,7,8.0,114.286,0.7642875
YBK Jaiswal,B Kumar,0,3,12,11,12.0,109.091,0.75681875
YBK Jaiswal,Washington Sundar,0,1,9,4,9.0,225.0,1.4625
YBK Jaiswal,R Shepherd,0,1,1,3,1.0,33.333,0.21458125
YBK Jaiswal,DR Sams,0,1,1,1,1.0,100.0,0.63125
YBK Jaiswal,JJ Bumrah,0,3,1,5,1.0,20.0,0.13125
YBK Jaiswal,A Nortje,0,3,12,14,12.0,85.714,0.6107125
YBK Jaiswal,SN Thakur,0,2,1,3,1.0,33.333,0.21458125
YBK Jaiswal,MR Marsh,0,1,3,4,3.0,75.0,0.4875
YBK Jaiswal,Kuldeep Yadav,0,1,3,3,3.0,100.0,0.64375
YBK Jaiswal,AR Patel,0,2,2,3,2.0,66.667,0.42916875
YBK Jaiswal,Mukesh Choudhary,0,1,22,12,22.0,183.333,1.28333125
YBK Jaiswal,Simarjeet Singh,0,1,10,7,10.0,142.857,0.95535625
YBK Jaiswal,MJ Santner,0,1,11,8,11.0,137.5,0.928125
YBK Jaiswal,M Pathirana,0,1,2,6,2.0,33.333,0.22083124999999998
YBK Jaiswal,MM Ali,0,1,6,9,6.0,66.667,0.45416875
YBK Jaiswal,PH Solanki,0,1,8,4,8.0,200.0,1.3
YBK Jaiswal,S Kaul,0,1,1,1,1.0,100.0,0.63125
YBK Jaiswal,CV Varun,0,1,4,2,4.0,200.0,1.275
YBK Jaiswal,JO Holder,0,2,7,10,7.0,70.0,0.48125
YBK Jaiswal,MP Stoinis,0,2,10,7,10.0,142.857,0.95535625
YBK Jaiswal,T Natarajan,0,1,5,4,5.0,125.0,0.8125
YBK Jaiswal,R Dhawan,0,1,16,10,16.0,160.0,1.1
YBK Jaiswal,RD Chahar,0,2,26,14,26.0,185.714,1.3232125
YBK Jaiswal,A Badoni,0,1,0,2,0.0,0.0,0.0
YBK Jaiswal,C Sakariya,0,1,2,2,2.0,100.0,0.6375
YBK Jaiswal,PJ Cummins,0,1,9,4,9.0,225.0,1.4625
YBK Jaiswal,Shivam Mavi,0,1,9,11,9.0,81.818,0.5676125
YBK Jaiswal,Sandeep Sharma,0,3,53,31,53.0,170.968,1.3998
YBK Jaiswal,DJ Willey,0,1,3,4,3.0,75.0,0.4875
YBK Jaiswal,DJ Hooda,0,1,5,2,5.0,250.0,1.59375
YBK Jaiswal,NM Coulter-Nile,0,2,12,6,12.0,200.0,1.325
YBK Jaiswal,Shakib Al Hasan,0,1,0,3,0.0,0.0,0.0
YBK Jaiswal,DL Chahar,0,1,5,5,5.0,100.0,0.65625
YBK Jaiswal,GHS Garton,0,1,0,1,0.0,0.0,0.0
YBK Jaiswal,DT Christian,0,1,15,5,15.0,300.0,1.96875
YBK Jaiswal,J Yadav,0,2,10,5,10.0,200.0,1.3125
YBK Jaiswal,IC Porel,0,1,7,8,7.0,87.5,0.590625
YBK Jaiswal,AU Rashid,0,1,19,11,19.0,172.727,1.19829375
YBK Jaiswal,SM Curran,0,2,12,7,12.0,171.429,1.14643125
YBK Jaiswal,KM Asif,0,1,0,1,0.0,0.0,0.0
JC Buttler,Mohammed Shami,0,7,79,57,79.0,138.596,1.359975
JC Buttler,Yash Dayal,0,3,65,28,65.0,232.143,1.85714375
JC Buttler,LH Ferguson,0,2,16,10,16.0,160.0,1.1
JC Buttler,Rashid Khan,0,8,30,47,30.0,63.83,0.5864375
JC Buttler,HH Pandya,0,4,47,26,47.0,180.769,1.42355625
JC Buttler,R Sai Kishore,0,1,6,7,6.0,85.714,0.5732125
JC Buttler,TA Boult,0,4,23,21,23.0,109.524,0.828275
JC Buttler,M Prasidh Krishna,0,2,12,11,12.0,109.091,0.75681875
JC Buttler,YS Chahal,0,4,25,30,25.0,83.333,0.67708125
JC Buttler,R Ashwin,0,5,33,33,33.0,100.0,0.83125
JC Buttler,Mohammed Siraj,0,4,41,29,41.0,141.379,1.13986875
JC Buttler,JR Hazlewood,0,3,33,28,33.0,117.857,0.94285625
JC Buttler,GJ Maxwell,0,1,12,11,12.0,109.091,0.75681875
JC Buttler,Shahbaz Ahmed,0,3,43,20,43.0,215.0,1.6125
JC Buttler,HV Patel,0,2,25,21,25.0,119.048,0.9003
JC Buttler,PWH de Silva,0,2,27,18,27.0,150.0,1.10625
JC Buttler,PVD Chameera,0,2,4,7,4.0,57.143,0.38214375
JC Buttler,KH Pandya,0,4,53,33,53.0,160.606,1.3350374999999999
JC Buttler,Avesh Khan,0,4,35,14,35.0,250.0,1.78125
JC Buttler,Ravi Bishnoi,0,2,2,5,2.0,40.0,0.2625
JC Buttler,AS Joseph,0,2,50,18,50.0,277.778,2.0486125
JC Buttler,Arshdeep Singh,0,2,15,14,15.0,107.143,0.76339375
JC Buttler,K Rabada,0,4,47,26,47.0,180.769,1.42355625
JC Buttler,B Kumar,0,5,36,39,36.0,92.308,0.801925
JC Buttler,Washington Sundar,0,4,16,14,16.0,114.286,0.8142875
JC Buttler,Umran Malik,0,1,20,8,20.0,250.0,1.6875
JC Buttler,R Shepherd,0,1,5,5,5.0,100.0,0.65625
JC Buttler,DR Sams,0,2,30,22,30.0,136.364,1.0397750000000001
JC Buttler,HR Shokeen,0,1,32,11,32.0,290.909,2.01818125
JC Buttler,JJ Bumrah,0,7,56,58,56.0,96.552,0.9534500000000001
JC Buttler,M Markande,0,1,19,11,19.0,172.727,1.19829375
JC Buttler,RP Meredith,0,2,21,17,21.0,123.529,0.90330625
JC Buttler,KK Ahmed,0,3,45,29,45.0,155.172,1.251075
JC Buttler,A Nortje,0,3,23,9,23.0,255.556,1.7409750000000002
JC Buttler,SN Thakur,0,7,68,49,68.0,138.776,1.29235
JC Buttler,MR Marsh,0,1,0,1,0.0,0.0,0.0
JC Buttler,Kuldeep Yadav,0,6,54,34,54.0,158.824,1.3301500000000002
JC Buttler,AR Patel,0,6,50,39,50.0,128.205,1.1137812500000002
JC Buttler,Mukesh Choudhary,0,1,2,3,2.0,66.667,0.42916875
JC Buttler,Simarjeet Singh,0,1,0,2,0.0,0.0,0.0
JC Buttler,MM Ali,0,1,11,4,11.0,275.0,1.7875
JC Buttler,S Kaul,0,1,1,2,1.0,50.0,0.31875
JC Buttler,UT Yadav,0,4,54,38,54.0,142.105,1.22565625
JC Buttler,TG Southee,0,1,4,2,4.0,200.0,1.275
JC Buttler,SP Narine,0,9,55,51,55.0,107.843,1.01776875
JC Buttler,CV Varun,0,3,28,13,28.0,215.385,1.52115625
JC Buttler,AD Russell,0,4,32,16,32.0,200.0,1.45
JC Buttler,JO Holder,0,2,10,8,10.0,125.0,0.84375
JC Buttler,MP Stoinis,0,5,33,24,33.0,137.5,1.065625
JC Buttler,T Natarajan,0,2,12,9,12.0,133.333,0.90833125
JC Buttler,Abhishek Sharma,0,1,1,1,1.0,100.0,0.63125
JC Buttler,RD Chahar,0,3,43,26,43.0,165.385,1.30240625
JC Buttler,Lalit Yadav,0,1,26,12,26.0,216.667,1.51666875
JC Buttler,K Kartikeya,0,1,7,11,7.0,63.636,0.44147499999999995
JC Buttler,DJ Bravo,0,4,25,21,25.0,119.048,0.9003
JC Buttler,C Sakariya,0,1,2,11,2.0,18.182,0.12613749999999999
JC Buttler,M Ashwin,0,3,35,24,35.0,145.833,1.13020625
JC Buttler,KA Pollard,0,3,33,17,33.0,194.118,1.4194875
JC Buttler,PJ Cummins,0,4,43,25,43.0,172.0,1.34375
JC Buttler,Shivam Mavi,0,6,59,43,59.0,137.209,1.22630625
JC Buttler,AS Roy,0,1,3,5,3.0,60.0,0.39375
JC Buttler,Sandeep Sharma,0,5,87,44,87.0,197.727,1.7795437499999998
JC Buttler,R Tewatia,0,1,10,7,10.0,142.857,0.95535625
JC Buttler,RA Jadeja,0,5,60,38,60.0,157.895,1.36184375
JC Buttler,Mustafizur Rahman,0,1,20,12,20.0,166.667,1.16666875
JC Buttler,JD Unadkat,0,1,6,4,6.0,150.0,0.975
JC Buttler,CJ Jordan,0,2,31,12,31.0,258.333,1.8083312500000002
JC Buttler,TS Mills,0,1,9,11,9.0,81.818,0.5676125
JC Buttler,V Shankar,0,2,18,10,18.0,180.0,1.2375
JC Buttler,Basil Thampi,0,3,42,14,42.0,300.0,2.1375
JC Buttler,Akash Deep,0,1,29,12,29.0,241.667,1.6916687500000003
JC Buttler,DJ Willey,0,2,31,23,31.0,134.783,1.03614375
